Numero_do_alimento,Descrio_do_alimento,Umidade,Energia,Proteina,Carboidrato,Categoria_do_alimento
476,Cha_mate_infusao_5%,99.3,3,0.0,0.6,Bebidas_(alcoolicas_e_no_alcoolicas)
478,Coco_agua_de_,94.3,22,0.0,5.3,Bebidas_(alcoolicas_e_no_alcoolicas)
480,Refrigerante_tipo_cola,91.3,34,0.0,8.7,Bebidas_(alcoolicas_e_no_alcoolicas)
481,Refrigerante_tipo_guarana,90.0,39,0.0,10.0,Bebidas_(alcoolicas_e_no_alcoolicas)
482,Refrigerante_tipo_laranja,88.2,46,0.0,11.8,Bebidas_(alcoolicas_e_no_alcoolicas)
483,Refrigerante_tipo_limao,89.7,40,0.0,10.3,Bebidas_(alcoolicas_e_no_alcoolicas)
493,Aucar_mascavo,3.3,369,0.8,94.5,Produtos_aucarados
496,Chocolate_ao_leite_com_castanha_do_Para,1.2,559,7.4,55.4,Produtos_aucarados
499,Cocada_branca,3.4,449,1.1,81.4,Produtos_aucarados
502,Geleia_mocoto_natural,73.5,106,2.1,24.2,Produtos_aucarados
506,Marmelada,28.5,257,0.4,70.8,Produtos_aucarados
508,Melado,22.1,297,0.0,76.6,Produtos_aucarados
510,Rapadura,7.1,352,1.0,90.8,Produtos_aucarados
500,Doce_de_abobora_cremoso,43.9,199,0.9,54.6,Produtos_aucarados
501,Doce_de_leite_cremoso,27.5,1282,5.5,59.5,Produtos_aucarados
507,Mel_de_abelha,15.8,309,0.0,84.0,Produtos_aucarados
525,Acaraje,50.5,289,8.3,7.9,Alimentos_preparados
527,Bailao_de_dois_arroz_e_feijao-de-corda,69.1,136,6.2,20.4,Alimentos_preparados
530,Bolinho_de_arroz_,41.5,274,8.0,41.7,Alimentos_preparados
532,Charuto_de_repolho,81.5,78,6.8,10.1,Alimentos_preparados
534,Cuscuz_paulista,68.9,142,2.6,22.5,Alimentos_preparados
536,Dobradinha,75.3,125,19.8,0.0,Alimentos_preparados
538,Estrogonofe_de_frango,70.9,157,17.6,2.6,Alimentos_preparados
542,Macarrao_molho_bolognesa,71.4,120,4.9,22.5,Alimentos_preparados
545,Salada_de_legumes_com_maionese,82.0,96,1.1,8.9,Alimentos_preparados
549,Tabule_,85.8,57,2.0,10.6,Alimentos_preparados
